"","dataset","model","fog","program","delta_AICc","tip_fog_as_fraction_trait_mean","tip_variance_divided_by_tree_plus_tip_variance","sigma.sq","sigma.sq.me","other_param","ntax","treeheight"
"90","carnivores","OU","estimate","geiger",6.71328671328671,1.28274810392733e-05,2.2477025703732e-10,0.0747412427755872,7.80905052979805e-10,1.4182191578888e-16,16,59.2
"91","geospiza","white","only","geiger",0,0.0268700475127712,1,0,0.0129537131021233,NA,13,0.58333
"92","geospiza","BM","none","geiger",3.12390776020948,0,0,0.0705456787837754,0,NA,13,0.58333
"93","geospiza","BM1","none","ouwie",3.12396832089403,0,NA,0.0705548415307097,0,NA,13,0.58333
"94","geospiza","OU1","none","ouwie",3.39362319053972,0,NA,0.423805651091287,0,NA,13,0.58333
"95","geospiza","BM","estimate","geiger",3.46666666666664,0.0796470806532062,1,8.12199645198436e-208,0.113814378017438,NA,13,0.58333
"96","geospiza","BM1","estimate","ouwie",3.61798667476065,0.0189272676949002,NA,0.0184940084191035,0.00642736930573007,NA,13,0.58333
"97","geospiza","OU","none","geiger",4.19735130647778,0,0,0.114939784279023,0,2.71828182845905,13,0.58333
"98","geospiza","delta","none","geiger",4.35260005209453,0,0,0.0353632051855946,0,2.999999,13,0.58333
"99","geospiza","kappa","none","geiger",5.30074939585226,0,0,0.0271731625870477,0,0.61030548283808,13,0.58333
"100","geospiza","EB","none","geiger",6.59057522576454,0,0,0.0705461678615265,0,-1.00158972316139e-06,13,0.58333
"101","geospiza","EB","estimate","geiger",7.79999999999997,0.0796470805983866,1,2.08419137001423e-101,0.113814377860765,-8.69628484373661,13,0.58333
"102","geospiza","kappa","estimate","geiger",7.79999999999998,0.0796470810918203,1,7.92546786363377e-192,0.113814379270983,6.60113451573637e-208,13,0.58333
"103","geospiza","OU","estimate","geiger",7.79999999999999,0.0796470797441895,1,1.2279622007787e-215,0.113814375419498,1.43774822458757e-109,13,0.58333
"104","geospiza","delta","estimate","geiger",7.80000000000001,0.0796470815000902,1,4.49373568715263e-18,0.113814380437805,3.38401151638309e-10,13,0.58333
"105","geospiza","OU1","estimate","ouwie",7.8000000032904,0.0268700483226333,NA,1e-09,0.012953713882972,NA,13,0.58333
"106","primates","EB","estimate","geiger",0,0.0417317060043355,0.0417880605472784,0.12157469897482,0.103446032265584,-0.0254331481583584,233,65.0916859772
"107","primates","BM1","estimate","ouwie",1.83569337128057,0.0108816036992846,NA,0.0283755043743003,0.00703343324146445,NA,233,65.0916859772
"108","primates","OU","estimate","geiger",3.90632373272956,0.037572068153451,1,0.0283753698677053,0.0838516788400301,1.0077375757774e-217,233,65.0916859772
"109","primates","OU1","estimate","ouwie",3.90632781627613,0.0108724582200185,NA,0.0283787086006898,0.00702161566586644,NA,233,65.0916859772
"110","primates","kappa","none","geiger",5.07524401879556,0,0,0.0362641500092403,0,0.874871622220295,233,65.0916859772
"111","primates","BM1","none","ouwie",5.72129834564532,0,NA,0.0325635137499109,0,NA,233,65.0916859772
"112","primates","BM","none","geiger",5.72131815510164,0,0,0.032563956891127,0,NA,233,65.0916859772
"113","primates","EB","none","geiger",6.86949237903536,0,0,0.0629497535292359,0,-0.010961234495795,233,65.0916859772
"114","primates","delta","none","geiger",6.98107864390494,0,0,0.0471911252593659,0,0.66669837058291,233,65.0916859772
"115","primates","kappa","estimate","geiger",7.14587912183703,8.45965212715922e-32,3.31822313726262e-61,0.0362641500092403,4.25095559680729e-61,0.874871622220295,233,65.0916859772
"116","primates","OU1","none","ouwie",7.77393709619156,0,NA,0.0325669160470915,0,NA,233,65.0916859772
"117","primates","OU","none","geiger",7.77394773550532,0,NA,0.0325639575971702,0,2.15224372436908e-78,233,65.0916859772
"118","primates","BM","estimate","geiger",7.77394773550748,1.21653208198903e-90,5.83109043151037e-179,0.0325639576981337,8.79080592775925e-179,NA,233,65.0916859772
"119","primates","delta","estimate","geiger",9.05171374447286,3.92803200815123e-34,4.71062193514616e-66,0.0471916504024298,9.16498155927253e-66,0.66669372314548,233,65.0916859772
"120","primates","white","only","geiger",550.781372881331,0.187088274464355,1,0,2.07909674408622,NA,233,65.0916859772
